"Prof Emeritus","Professorial"
"Consultant/Advisor II","Computers & Networks"
"Post Dr Assoc","Academic Other"
"Exec Staff Asst II","Administration"
"Dir Assistant Acad","Academic Administrative"
"Senior Auditor","Fin/Budget/Planning"
"Prof Adj Assoc","Academic Other"
"Administrator III","Administration"
"Mgr Finance III","Fin/Budget/Planning"
"Research Associate","Research/Extension"
"Environ Health Spec I","Service/Facilities"
"Lecturer","Teaching"
"Communication Mgr II","Communications"
"Prof Asst Visit","Academic Other"
"Administrator II","Administration"
"Prod Assoc II","Communications"
"Student Svc Assoc IV","Student Services"
"Data Analyst II","Fin/Budget/Planning"
"HR Manager-College/Unit","Human Resources"
"Prof Adj","Academic Other"
"Director Projects","Service/Facilities"
"Lecturer Sr","Teaching"
"Prog Analyst III","Computers & Networks"
"Prog Analyst II","Computers & Networks"
"Research Support Spec II","Academic Support"
"Staff Writer III","Communications"
"Scientist Visit","Academic Other"
"Controller","Fin/Budget/Planning"
"Prof Assoc","Professorial"
"Fellow Visiting","Academic Other"
"Dept Chairperson","Academic Administrative"
"Consultant/Advisor Lead","Computers & Networks"
"Library Assoc Univ","Library - Academic"
"Research Support Aide","Academic Support"
"Asst Coach II","Athletics"
"Prof Courtesy","Academic Other"
"Asst Coach I","Athletics"
"Extension Associate,Sr","Research/Extension"
"Prog Analyst Sr","Computers & Networks"
"Student Svc Assoc II-FinAid","Student Services"
"Research Associate,Sr","Research/Extension"
"Vet Resident","Health"
"Res Hall Assoc I","Student Services"
"Public Affairs Ofcr III","Alumni Affairs Development"
"Consultant/Advisor Spec","Computers & Networks"
"Research Support Spec III","Academic Support"
"Student Svc Assoc IV-Admiss","Student Services"
"Student Svc Assoc I","Student Services"
"HR Generalist III","Human Resources"
"Instructor","Teaching"
"Finance Specialist III","Fin/Budget/Planning"
"Library Administrator II","Library/Museum"
"Consultant/Advisor Sr","Computers & Networks"
"VP for Planning & Budget","Fin/Budget/Planning"
"Dir OSP","Administration"
"Res Hall Assoc II","Student Services"
"Lecturer Visit Sr","Academic Other"
"Info Tech Engineer Spec","Computers & Networks"
"Extension Supp Spec II","Academic Support"
"Info Tech Area Mgr I","Computers & Networks"
"Instructor Pe","Athletics"
"Computer Oper Supv","Computers & Networks"
"Finance Specialist II","Fin/Budget/Planning"
"Asst Golf Course Supt","Athletics"
"Staff Nurse","Health"
"Prog Analyst Spec","Computers & Networks"
"Student Svc Assoc III","Student Services"
"Public Affairs Ofcr IV","Alumni Affairs Development"
"Administrator VI","Administration"
"Tech Svcs Supv II","Academic Support"
"Director","Academic Administrative"
"Head Coach I","Athletics"
"Coord Conference II","Administration"
"Scientist Srv Hd","Titles - Puerto Rico"
"Prof Adj Asst","Academic Other"
"Teaching Supp Spec III","Academic Support"
"Prog Analyst Lead","Computers & Networks"
"Landscape Architect II","Service/Facilities"
"Student Svc Assoc II","Student Services"
"Consultant/Advisor III","Computers & Networks"
"Extension Associate","Research/Extension"
"Library Assoc I","Library - Academic"
"Extension Supp Spec I","Academic Support"
"Library Assoc II","Library - Academic"
"Alumni Affrs Ofcr III","Alumni Affairs Development"
"Scholar Visit","Academic Other"
"Supv Farm II","Service/Facilities"
"Library Sr Asst","Library - Academic"
"Dir Assoc Acad","Academic Administrative"
"Health Educator II","Health"
"Cataloger","Library/Museum"
"Administrator IV","Administration"
"Dining Assoc I","Student Services"
"Theatre Manager","Administration"
"Dining Assoc III","Student Services"
"Administrator VII","Administration"
"Museum Assoc II","Library/Museum"
"Research Support Spec I","Academic Support"
"President","Academic Administrative"
"Alumni Affrs Ofcr IV","Alumni Affairs Development"
"Fellow Postdoc","Academic Other"
"Coord Program I","Student Services"
"Director Acad","Academic Administrative"
"Mgr Finance I","Fin/Budget/Planning"
"Assoc Dir Psych Svcs","Health"
"Student Svc Assoc I-FinAid","Student Services"
"Manager Projects I","Service/Facilities"
"Info Tech Asst Dir I","Computers & Networks"
"Mgr Publ I","Communications"
"Librarian I","Library - Academic"
"HR Director - College/Unit","Human Resources"
"Athletic Trainer","Athletics"
"Dir Facilities I","Service/Facilities"
"Supv Facilities II","Service/Facilities"
"Psychiatrist","Health"
"Student Svc Assoc III-Admiss","Student Services"
"Dir Acad","Academic Administrative"
"Grant Contract Ofcr I","Administration"
"Counselor Therapist II","Health"
"Athletic Operations Admin I","Athletics"
"Regional Assoc I","Alumni Affairs Development"
"Extension Supp Spec IV","Academic Support"
"Principal Investment Analyst","Fin/Budget/Planning"
"Lecturer Visit","Academic Other"
"Mgr Facilities I","Service/Facilities"
"Coord Projects II","Service/Facilities"
"Engineer/Architect Manager","Service/Facilities"
"Instructor Wellness Fitness","Health"
"Info Tech Asst Dir II","Computers & Networks"
"Computer Oper Mgr I","Computers & Networks"
"Dir Acting","Academic Administrative"
"Administrator V","Administration"
"HR Generalist IV","Human Resources"
"Info Tech Engineer III","Computers & Networks"
"Communication Mgr I","Communications"
"Dean Academic","Academic Administrative"
"Chef I","Student Services"
"Network Oper Supv","Computers & Networks"
"Asst Ombudsperson","Student Services"
"Dir Info Tech","Computers & Networks"
"Teaching Supp Spec II","Academic Support"
"Prof Assoc Vis","Academic Other"
"Museum Assoc I","Library/Museum"
"Managing Editor","Communications"
"Dir Govt Affairs","Administration"
"Scientist Sr","Academic Other"
"Graphic Designer III","Communications"
"Dining Assoc II","Student Services"
"Res Assoc - PRico","Titles - Puerto Rico"
"Professor Assistant Courtesy","Academic Other"
"Dean Assoc","Academic Administrative"
"Info Tech Area Mgr II","Computers & Networks"
"Public Affairs Ofcr II","Alumni Affairs Development"
"Dir Risk Management","Fin/Budget/Planning"
"Vet Tech, Section Supervisor","Health"
"Alumni Affrs Ofcr II","Alumni Affairs Development"
"Staff Writer II","Communications"
"Assoc Bursar","Fin/Budget/Planning"
"Multimedia Producer","Communications"
"Supv Shop","Service/Facilities"
"Editor III","Communications"
"TEC Professional","Administration"
"Archiv I","Library - Academic"
"Director IT Audit","Computers & Networks"
"IT Support Assoc III","Computers & Networks"
